Ethnic_Group,Estimated_Population_Millions,Percentage,Main_States,Main_Zones
Hausa,68.85,30.0,"Kano,Kaduna,Katsina,Sokoto,Bauchi,Gombe","North West,North East,North Central"
Yoruba,35.57,15.5,"Lagos,Oyo,Ogun,Osun,Ondo,Ekiti",South West
Igbo,34.88,15.2,"Anambra,Enugu,Imo,Abia,Ebonyi",South East
Fulani,13.77,6.0,"Adamawa,Sokoto,Kano","North West,North East,North Central"
Tiv,5.51,2.4,"Benue,Plateau,Nasarawa,Taraba","North Central,North East"
Kanuri/Beriberi,5.51,2.4,"Borno,Yobe,Gombe",North East
Ibibio,4.13,1.8,"Akwa Ibom,Cross River",South South
Ijaw/Izon,4.13,1.8,"Bayelsa,Delta,Rivers,Ondo","South South,South West"
Others,57.13,24.9,"Various including Edo (Edo), Urhobo (Delta), Nupe (Niger,Kwara)",All
